geoid,name,story_scale_exclusion
1312484,"Calvary CDP, Georgia",Denominator below story-scale threshold
1312512,"Camak town, Georgia",Denominator below story-scale threshold
1312624,"Camilla city, Georgia",Percentage MOE exceeds 50% of estimate
1312834,"Candler-McAfee CDP, Georgia",Caregiver count MOE exceeds 50% of estimate
1312932,"Canon city, Georgia",Denominator below story-scale threshold
1312960,"Canoochee CDP, Georgia",Denominator below story-scale threshold
1312988,"Canton city, Georgia",Percentage MOE exceeds 50% of estimate
1313184,"Carl town, Georgia",Denominator below story-scale threshold
1313212,"Carlton city, Georgia",Denominator below story-scale threshold
1313352,"Carnesville city, Georgia",Denominator below story-scale threshold
1313492,"Carrollton city, Georgia",Percentage MOE exceeds 50% of estimate
1313688,"Cartersville city, Georgia",Percentage MOE exceeds 50% of estimate
1314024,"Cataula CDP, Georgia",Denominator below story-scale threshold
1314108,"Cave Spring city, Georgia",Denominator below story-scale threshold
1314192,"Cecil city, Georgia",Denominator below story-scale threshold
1314472,"Cedar Springs CDP, Georgia",Denominator below story-scale threshold
1314500,"Cedartown city, Georgia",Caregiver count MOE exceeds 50% of estimate
1314920,"Centerville city, Georgia",Unavailable MOE or zero percentage
1315026,"Centralhatchee town, Georgia",Denominator below story-scale threshold
1315172,"Chamblee city, Georgia",Caregiver count MOE exceeds 50% of estimate
1315508,"Chatsworth city, Georgia",Caregiver count MOE exceeds 50% of estimate
1315552,"Chattahoochee Hills city, Georgia",Denominator below story-scale threshold
1315585,"Chattanooga Valley CDP, Georgia",Unavailable MOE or zero percentage
1315648,"Chauncey city, Georgia",Denominator below story-scale threshold
1315844,"Cherry Log CDP, Georgia",Denominator below story-scale threshold
1315900,"Chester town, Georgia",Denominator below story-scale threshold
1315984,"Chickamauga city, Georgia",Percentage MOE exceeds 50% of estimate
1316460,"Clarkesville city, Georgia",Denominator below story-scale threshold
1316544,"Clarkston city, Georgia",Percentage MOE exceeds 50% of estimate
1316600,"Claxton city, Georgia",Denominator below story-scale threshold
1316656,"Clayton city, Georgia",Denominator below story-scale threshold
1316796,"Clermont town, Georgia",Denominator below story-scale threshold
1316824,"Cleveland city, Georgia",Denominator below story-scale threshold
1316908,"Climax city, Georgia",Denominator below story-scale threshold
1317132,"Clyattville CDP, Georgia",Denominator below story-scale threshold
1317272,"Cobbtown city, Georgia",Denominator below story-scale threshold
1317328,"Cochran city, Georgia",Denominator below story-scale threshold
1317468,"Cogdell CDP, Georgia",Denominator below story-scale threshold
1317496,"Cohutta city, Georgia",Denominator below story-scale threshold
1317552,"Colbert city, Georgia",Denominator below story-scale threshold
1317580,"Coleman CDP, Georgia",Denominator below story-scale threshold
1317776,"College Park city, Georgia",Percentage MOE exceeds 50% of estimate
1317832,"Collins city, Georgia",Denominator below story-scale threshold
1318000,"Colquitt city, Georgia",Denominator below story-scale threshold
