geoid,name,metric,reason
1349008,"Macon-Bibb County, Georgia",percent_responsible_grandparents_six_to_eleven_months_exclusion,Percentage MOE exceeds 50% of estimate
1349008,"Macon-Bibb County, Georgia",percent_responsible_grandparents_one_or_two_years_exclusion,Percentage MOE exceeds 50% of estimate
1349008,"Macon-Bibb County, Georgia",percent_responsible_grandparents_three_or_four_years_exclusion,Retained
1349008,"Macon-Bibb County, Georgia",percent_responsible_grandparents_five_plus_years_exclusion,Retained
1349008,"Macon-Bibb County, Georgia",story_scale_exclusion,Retained
1373784,"Stonecrest city, Georgia",pct_responsible_exclusion,Retained
1373784,"Stonecrest city, Georgia",percent_responsible_grandparents_less_than_six_months_exclusion,Percentage MOE exceeds 50% of estimate
1373784,"Stonecrest city, Georgia",percent_responsible_grandparents_six_to_eleven_months_exclusion,Percentage MOE exceeds 50% of estimate
1373784,"Stonecrest city, Georgia",percent_responsible_grandparents_one_or_two_years_exclusion,Percentage MOE exceeds 50% of estimate
1373784,"Stonecrest city, Georgia",percent_responsible_grandparents_three_or_four_years_exclusion,Percentage MOE exceeds 50% of estimate
1373784,"Stonecrest city, Georgia",percent_responsible_grandparents_five_plus_years_exclusion,Retained
1373784,"Stonecrest city, Georgia",story_scale_exclusion,Retained
1304204,"Augusta-Richmond County consolidated government (balance), Georgia",pct_responsible_exclusion,Retained
1304204,"Augusta-Richmond County consolidated government (balance), Georgia",percent_responsible_grandparents_less_than_six_months_exclusion,Percentage MOE exceeds 50% of estimate
1304204,"Augusta-Richmond County consolidated government (balance), Georgia",percent_responsible_grandparents_six_to_eleven_months_exclusion,Percentage MOE exceeds 50% of estimate
1304204,"Augusta-Richmond County consolidated government (balance), Georgia",percent_responsible_grandparents_one_or_two_years_exclusion,Percentage MOE exceeds 50% of estimate
1304204,"Augusta-Richmond County consolidated government (balance), Georgia",percent_responsible_grandparents_three_or_four_years_exclusion,Percentage MOE exceeds 50% of estimate
1304204,"Augusta-Richmond County consolidated government (balance), Georgia",percent_responsible_grandparents_five_plus_years_exclusion,Retained
1304204,"Augusta-Richmond County consolidated government (balance), Georgia",story_scale_exclusion,Retained
1380508,"Warner Robins city, Georgia",pct_responsible_exclusion,Retained
1380508,"Warner Robins city, Georgia",percent_responsible_grandparents_less_than_six_months_exclusion,Percentage MOE exceeds 50% of estimate
1380508,"Warner Robins city, Georgia",percent_responsible_grandparents_six_to_eleven_months_exclusion,Percentage MOE exceeds 50% of estimate
1380508,"Warner Robins city, Georgia",percent_responsible_grandparents_one_or_two_years_exclusion,Percentage MOE exceeds 50% of estimate
1380508,"Warner Robins city, Georgia",percent_responsible_grandparents_three_or_four_years_exclusion,Percentage MOE exceeds 50% of estimate
1380508,"Warner Robins city, Georgia",percent_responsible_grandparents_five_plus_years_exclusion,Retained
1380508,"Warner Robins city, Georgia",story_scale_exclusion,Retained
1372122,"South Fulton city, Georgia",pct_responsible_exclusion,Retained
1372122,"South Fulton city, Georgia",percent_responsible_grandparents_less_than_six_months_exclusion,Percentage MOE exceeds 50% of estimate
1372122,"South Fulton city, Georgia",percent_responsible_grandparents_six_to_eleven_months_exclusion,Unavailable MOE or zero percentage
1372122,"South Fulton city, Georgia",percent_responsible_grandparents_one_or_two_years_exclusion,Percentage MOE exceeds 50% of estimate
1372122,"South Fulton city, Georgia",percent_responsible_grandparents_three_or_four_years_exclusion,Percentage MOE exceeds 50% of estimate
1372122,"South Fulton city, Georgia",percent_responsible_grandparents_five_plus_years_exclusion,Retained
1372122,"South Fulton city, Georgia",story_scale_exclusion,Retained
1349756,"Marietta city, Georgia",pct_responsible_exclusion,Retained
1349756,"Marietta city, Georgia",percent_responsible_grandparents_less_than_six_months_exclusion,Unavailable MOE or zero percentage
1349756,"Marietta city, Georgia",percent_responsible_grandparents_six_to_eleven_months_exclusion,Percentage MOE exceeds 50% of estimate
1349756,"Marietta city, Georgia",percent_responsible_grandparents_one_or_two_years_exclusion,Percentage MOE exceeds 50% of estimate
1349756,"Marietta city, Georgia",percent_responsible_grandparents_three_or_four_years_exclusion,Percentage MOE exceeds 50% of estimate
1349756,"Marietta city, Georgia",percent_responsible_grandparents_five_plus_years_exclusion,Retained
1349756,"Marietta city, Georgia",story_scale_exclusion,Retained
1348288,"Mableton city, Georgia",pct_responsible_exclusion,Retained
1348288,"Mableton city, Georgia",percent_responsible_grandparents_less_than_six_months_exclusion,Percentage MOE exceeds 50% of estimate
1348288,"Mableton city, Georgia",percent_responsible_grandparents_six_to_eleven_months_exclusion,Percentage MOE exceeds 50% of estimate
1348288,"Mableton city, Georgia",percent_responsible_grandparents_one_or_two_years_exclusion,Percentage MOE exceeds 50% of estimate
1348288,"Mableton city, Georgia",percent_responsible_grandparents_three_or_four_years_exclusion,Percentage MOE exceeds 50% of estimate
1348288,"Mableton city, Georgia",percent_responsible_grandparents_five_plus_years_exclusion,Retained
1348288,"Mableton city, Georgia",story_scale_exclusion,Retained
1300184,"Abbeville city, Georgia",pct_responsible_exclusion,Percentage MOE exceeds 50% of estimate
1300184,"Abbeville city, Georgia",percent_responsible_grandparents_less_than_six_months_exclusion,Unavailable MOE or zero percentage
1300184,"Abbeville city, Georgia",percent_responsible_grandparents_six_to_eleven_months_exclusion,Unavailable MOE or zero percentage
1300184,"Abbeville city, Georgia",percent_responsible_grandparents_one_or_two_years_exclusion,Percentage MOE exceeds 50% of estimate
1300184,"Abbeville city, Georgia",percent_responsible_grandparents_three_or_four_years_exclusion,Unavailable MOE or zero percentage
1300184,"Abbeville city, Georgia",percent_responsible_grandparents_five_plus_years_exclusion,Percentage MOE exceeds 50% of estimate
1300184,"Abbeville city, Georgia",story_scale_exclusion,Denominator below story-scale threshold
1300408,"Acworth city, Georgia",pct_responsible_exclusion,Percentage MOE exceeds 50% of estimate
1300408,"Acworth city, Georgia",percent_responsible_grandparents_less_than_six_months_exclusion,Percentage MOE exceeds 50% of estimate
1300408,"Acworth city, Georgia",percent_responsible_grandparents_six_to_eleven_months_exclusion,Percentage MOE exceeds 50% of estimate
1300408,"Acworth city, Georgia",percent_responsible_grandparents_one_or_two_years_exclusion,Unavailable MOE or zero percentage
1300408,"Acworth city, Georgia",percent_responsible_grandparents_three_or_four_years_exclusion,Unavailable MOE or zero percentage
1300408,"Acworth city, Georgia",percent_responsible_grandparents_five_plus_years_exclusion,Percentage MOE exceeds 50% of estimate
1300408,"Acworth city, Georgia",story_scale_exclusion,Percentage MOE exceeds 50% of estimate
1300436,"Adairsville city, Georgia",pct_responsible_exclusion,Percentage MOE exceeds 50% of estimate
1300436,"Adairsville city, Georgia",percent_responsible_grandparents_less_than_six_months_exclusion,Percentage MOE exceeds 50% of estimate
1300436,"Adairsville city, Georgia",percent_responsible_grandparents_six_to_eleven_months_exclusion,Unavailable MOE or zero percentage
1300436,"Adairsville city, Georgia",percent_responsible_grandparents_one_or_two_years_exclusion,Unavailable MOE or zero percentage
1300436,"Adairsville city, Georgia",percent_responsible_grandparents_three_or_four_years_exclusion,Unavailable MOE or zero percentage
1300436,"Adairsville city, Georgia",percent_responsible_grandparents_five_plus_years_exclusion,Unavailable MOE or zero percentage
1300436,"Adairsville city, Georgia",story_scale_exclusion,Percentage MOE exceeds 50% of estimate
1300576,"Adel city, Georgia",pct_responsible_exclusion,Percentage MOE exceeds 50% of estimate
1300576,"Adel city, Georgia",percent_responsible_grandparents_less_than_six_months_exclusion,Unavailable MOE or zero percentage
1300576,"Adel city, Georgia",percent_responsible_grandparents_six_to_eleven_months_exclusion,Percentage MOE exceeds 50% of estimate
1300576,"Adel city, Georgia",percent_responsible_grandparents_one_or_two_years_exclusion,Percentage MOE exceeds 50% of estimate
1300576,"Adel city, Georgia",percent_responsible_grandparents_three_or_four_years_exclusion,Unavailable MOE or zero percentage
1300576,"Adel city, Georgia",percent_responsible_grandparents_five_plus_years_exclusion,Unavailable MOE or zero percentage
1300576,"Adel city, Georgia",story_scale_exclusion,Percentage MOE exceeds 50% of estimate
1300660,"Adrian city, Georgia",pct_responsible_exclusion,Percentage MOE exceeds 50% of estimate
1300660,"Adrian city, Georgia",percent_responsible_grandparents_less_than_six_months_exclusion,Percentage MOE exceeds 50% of estimate
1300660,"Adrian city, Georgia",percent_responsible_grandparents_six_to_eleven_months_exclusion,Unavailable MOE or zero percentage
1300660,"Adrian city, Georgia",percent_responsible_grandparents_one_or_two_years_exclusion,Unavailable MOE or zero percentage
1300660,"Adrian city, Georgia",percent_responsible_grandparents_three_or_four_years_exclusion,Unavailable MOE or zero percentage
1300660,"Adrian city, Georgia",percent_responsible_grandparents_five_plus_years_exclusion,Percentage MOE exceeds 50% of estimate
1300660,"Adrian city, Georgia",story_scale_exclusion,Denominator below story-scale threshold
1300828,"Ailey city, Georgia",pct_responsible_exclusion,Missing input or nonpositive denominator
1300828,"Ailey city, Georgia",percent_responsible_grandparents_less_than_six_months_exclusion,Missing input or nonpositive denominator
1300828,"Ailey city, Georgia",percent_responsible_grandparents_six_to_eleven_months_exclusion,Missing input or nonpositive denominator
1300828,"Ailey city, Georgia",percent_responsible_grandparents_one_or_two_years_exclusion,Missing input or nonpositive denominator
1300828,"Ailey city, Georgia",percent_responsible_grandparents_three_or_four_years_exclusion,Missing input or nonpositive denominator
1300828,"Ailey city, Georgia",percent_responsible_grandparents_five_plus_years_exclusion,Missing input or nonpositive denominator
1300828,"Ailey city, Georgia",story_scale_exclusion,Denominator below story-scale threshold
1300996,"Alamo town, Georgia",pct_responsible_exclusion,Percentage MOE exceeds 50% of estimate
1300996,"Alamo town, Georgia",percent_responsible_grandparents_less_than_six_months_exclusion,Unavailable MOE or zero percentage
1300996,"Alamo town, Georgia",percent_responsible_grandparents_six_to_eleven_months_exclusion,Percentage MOE exceeds 50% of estimate
1300996,"Alamo town, Georgia",percent_responsible_grandparents_one_or_two_years_exclusion,Unavailable MOE or zero percentage
1300996,"Alamo town, Georgia",percent_responsible_grandparents_three_or_four_years_exclusion,Unavailable MOE or zero percentage
1300996,"Alamo town, Georgia",percent_responsible_grandparents_five_plus_years_exclusion,Unavailable MOE or zero percentage
1300996,"Alamo town, Georgia",story_scale_exclusion,Denominator below story-scale threshold
1301024,"Alapaha town, Georgia",pct_responsible_exclusion,Percentage MOE exceeds 50% of estimate
1301024,"Alapaha town, Georgia",percent_responsible_grandparents_less_than_six_months_exclusion,Unavailable MOE or zero percentage
1301024,"Alapaha town, Georgia",percent_responsible_grandparents_six_to_eleven_months_exclusion,Unavailable MOE or zero percentage
1301024,"Alapaha town, Georgia",percent_responsible_grandparents_one_or_two_years_exclusion,Unavailable MOE or zero percentage
1301024,"Alapaha town, Georgia",percent_responsible_grandparents_three_or_four_years_exclusion,Unavailable MOE or zero percentage
1301024,"Alapaha town, Georgia",percent_responsible_grandparents_five_plus_years_exclusion,Percentage MOE exceeds 50% of estimate
1301024,"Alapaha town, Georgia",story_scale_exclusion,Denominator below story-scale threshold
1301248,"Aldora town, Georgia",pct_responsible_exclusion,Missing input or nonpositive denominator
1301248,"Aldora town, Georgia",percent_responsible_grandparents_less_than_six_months_exclusion,Missing input or nonpositive denominator
1301248,"Aldora town, Georgia",percent_responsible_grandparents_six_to_eleven_months_exclusion,Missing input or nonpositive denominator
1301248,"Aldora town, Georgia",percent_responsible_grandparents_one_or_two_years_exclusion,Missing input or nonpositive denominator
1301248,"Aldora town, Georgia",percent_responsible_grandparents_three_or_four_years_exclusion,Missing input or nonpositive denominator
1301248,"Aldora town, Georgia",percent_responsible_grandparents_five_plus_years_exclusion,Missing input or nonpositive denominator
1301248,"Aldora town, Georgia",story_scale_exclusion,Denominator below story-scale threshold
1301472,"Allenhurst city, Georgia",pct_responsible_exclusion,Percentage MOE exceeds 50% of estimate
1301472,"Allenhurst city, Georgia",percent_responsible_grandparents_less_than_six_months_exclusion,Unavailable MOE or zero percentage
1301472,"Allenhurst city, Georgia",percent_responsible_grandparents_six_to_eleven_months_exclusion,Unavailable MOE or zero percentage
1301472,"Allenhurst city, Georgia",percent_responsible_grandparents_one_or_two_years_exclusion,Percentage MOE exceeds 50% of estimate
