metric,reason,records,received
pct_responsible_exclusion,Retained,51,51
percent_responsible_grandparents_five_plus_years_exclusion,Retained,51,51
percent_responsible_grandparents_less_than_six_months_exclusion,Percentage MOE exceeds 50% of estimate,1,51
percent_responsible_grandparents_less_than_six_months_exclusion,Retained,50,51
percent_responsible_grandparents_one_or_two_years_exclusion,Percentage MOE exceeds 50% of estimate,1,51
percent_responsible_grandparents_one_or_two_years_exclusion,Retained,50,51
percent_responsible_grandparents_six_to_eleven_months_exclusion,Percentage MOE exceeds 50% of estimate,1,51
percent_responsible_grandparents_six_to_eleven_months_exclusion,Retained,50,51
percent_responsible_grandparents_three_or_four_years_exclusion,Retained,51,51
