geoid,name,duration_sum,duration_difference,duration_reconciliation_status,coresident_components_sum,coresident_difference,coresident_reconciliation_status
13265,"Taliaferro County, Georgia",7,0,Pass,101,0,Pass
13267,"Tattnall County, Georgia",352,0,Pass,637,0,Pass
13269,"Taylor County, Georgia",56,0,Pass,80,0,Pass
13271,"Telfair County, Georgia",91,0,Pass,453,0,Pass
13273,"Terrell County, Georgia",53,0,Pass,215,0,Pass
13275,"Thomas County, Georgia",467,0,Pass,1301,0,Pass
13277,"Tift County, Georgia",296,0,Pass,747,0,Pass
13279,"Toombs County, Georgia",494,0,Pass,964,0,Pass
13281,"Towns County, Georgia",264,0,Pass,499,0,Pass
13283,"Treutlen County, Georgia",94,0,Pass,136,0,Pass
13285,"Troup County, Georgia",784,0,Pass,1610,0,Pass
13287,"Turner County, Georgia",74,0,Pass,266,0,Pass
13289,"Twiggs County, Georgia",73,0,Pass,432,0,Pass
13291,"Union County, Georgia",379,0,Pass,739,0,Pass
13293,"Upson County, Georgia",182,0,Pass,636,0,Pass
13295,"Walker County, Georgia",1090,0,Pass,2266,0,Pass
13297,"Walton County, Georgia",1033,0,Pass,2831,0,Pass
13299,"Ware County, Georgia",384,0,Pass,764,0,Pass
13301,"Warren County, Georgia",127,0,Pass,190,0,Pass
13303,"Washington County, Georgia",588,0,Pass,801,0,Pass
13305,"Wayne County, Georgia",278,0,Pass,571,0,Pass
13307,"Webster County, Georgia",6,0,Pass,24,0,Pass
13309,"Wheeler County, Georgia",89,0,Pass,123,0,Pass
13311,"White County, Georgia",314,0,Pass,851,0,Pass
13313,"Whitfield County, Georgia",906,0,Pass,2195,0,Pass
13315,"Wilcox County, Georgia",94,0,Pass,235,0,Pass
13317,"Wilkes County, Georgia",148,0,Pass,324,0,Pass
13319,"Wilkinson County, Georgia",125,0,Pass,234,0,Pass
13321,"Worth County, Georgia",351,0,Pass,652,0,Pass
