geoid,name,pct_responsible_exclusion
21025,"Breathitt County, Kentucky",Retained
21141,"Logan County, Kentucky",Retained
01133,"Winston County, Alabama",Retained
54079,"Putnam County, West Virginia",Retained
28101,"Newton County, Mississippi",Retained
31173,"Thurston County, Nebraska",Retained
21095,"Harlan County, Kentucky",Retained
13131,"Grady County, Georgia",Retained
21083,"Graves County, Kentucky",Retained
01013,"Butler County, Alabama",Retained
29091,"Howell County, Missouri",Retained
40075,"Kiowa County, Oklahoma",Retained
28131,"Stone County, Mississippi",Retained
47017,"Carroll County, Tennessee",Retained
05047,"Franklin County, Arkansas",Retained
21085,"Grayson County, Kentucky",Retained
28117,"Prentiss County, Mississippi",Retained
28051,"Holmes County, Mississippi",Retained
46102,"Oglala Lakota County, South Dakota",Retained
48227,"Howard County, Texas",Retained
28163,"Yazoo County, Mississippi",Retained
51089,"Henry County, Virginia",Retained
40129,"Roger Mills County, Oklahoma",Retained
47049,"Fentress County, Tennessee",Retained
40105,"Nowata County, Oklahoma",Retained
45027,"Clarendon County, South Carolina",Retained
47029,"Cocke County, Tennessee",Retained
48347,"Nacogdoches County, Texas",Retained
47177,"Warren County, Tennessee",Retained
02185,"North Slope Borough, Alaska",Retained
28151,"Washington County, Mississippi",Retained
48189,"Hale County, Texas",Retained
02158,"Kusilvak Census Area, Alaska",Retained
21119,"Knott County, Kentucky",Retained
22119,"Webster Parish, Louisiana",Retained
01099,"Monroe County, Alabama",Retained
47071,"Hardin County, Tennessee",Retained
49015,"Emery County, Utah",Retained
54045,"Logan County, West Virginia",Retained
51185,"Tazewell County, Virginia",Retained
51730,"Petersburg city, Virginia",Retained
17195,"Whiteside County, Illinois",Retained
37173,"Swain County, North Carolina",Retained
01083,"Limestone County, Alabama",Retained
29015,"Benton County, Missouri",Retained
28001,"Adams County, Mississippi",Retained
36019,"Clinton County, New York",Retained
54053,"Mason County, West Virginia",Retained
18083,"Knox County, Indiana",Retained
47083,"Houston County, Tennessee",Retained
01111,"Randolph County, Alabama",Retained
21089,"Greenup County, Kentucky",Retained
47173,"Union County, Tennessee",Retained
36009,"Cattaraugus County, New York",Retained
17137,"Morgan County, Illinois",Retained
40103,"Noble County, Oklahoma",Retained
