geoid,name,estimate_population,estimate_coresident_grandparents_total,estimate_responsible_total,estimate_less_than_six_months,estimate_six_to_eleven_months,estimate_one_or_two_years,estimate_three_or_four_years,estimate_five_plus_years,estimate_not_responsible,moe_population,moe_coresident_grandparents_total,moe_responsible_total,moe_less_than_six_months,moe_six_to_eleven_months,moe_one_or_two_years,moe_three_or_four_years,moe_five_plus_years,moe_not_responsible,duration_sum,duration_difference,duration_reconciliation_status,coresident_components_sum,coresident_difference,coresident_reconciliation_status,pct_responsible,moe_ratio,moe_exceeds_estimate,high_moe_flag,severe_moe_flag,cv_responsible_percent,responsible_ci90_lower,responsible_ci90_upper,pct_responsible_moe,percent_responsible_grandparents_less_than_six_months,percent_responsible_grandparents_less_than_six_months_moe,percent_responsible_grandparents_six_to_eleven_months,percent_responsible_grandparents_six_to_eleven_months_moe,percent_responsible_grandparents_one_or_two_years,percent_responsible_grandparents_one_or_two_years_moe,percent_responsible_grandparents_three_or_four_years,percent_responsible_grandparents_three_or_four_years_moe,percent_responsible_grandparents_five_plus_years,percent_responsible_grandparents_five_plus_years_moe,pct_responsible_ci90_lower,pct_responsible_ci90_upper,pct_responsible_cv_percent,pct_responsible_exclusion,percent_responsible_grandparents_less_than_six_months_ci90_lower,percent_responsible_grandparents_less_than_six_months_ci90_upper,percent_responsible_grandparents_less_than_six_months_cv_percent,percent_responsible_grandparents_less_than_six_months_exclusion,percent_responsible_grandparents_six_to_eleven_months_ci90_lower,percent_responsible_grandparents_six_to_eleven_months_ci90_upper,percent_responsible_grandparents_six_to_eleven_months_cv_percent,percent_responsible_grandparents_six_to_eleven_months_exclusion,percent_responsible_grandparents_one_or_two_years_ci90_lower,percent_responsible_grandparents_one_or_two_years_ci90_upper,percent_responsible_grandparents_one_or_two_years_cv_percent,percent_responsible_grandparents_one_or_two_years_exclusion,percent_responsible_grandparents_three_or_four_years_ci90_lower,percent_responsible_grandparents_three_or_four_years_ci90_upper,percent_responsible_grandparents_three_or_four_years_cv_percent,percent_responsible_grandparents_three_or_four_years_exclusion,percent_responsible_grandparents_five_plus_years_ci90_lower,percent_responsible_grandparents_five_plus_years_ci90_upper,percent_responsible_grandparents_five_plus_years_cv_percent,percent_responsible_grandparents_five_plus_years_exclusion,acs_year,acs_period,acs_product,state_fips,caregivers_per_1000_population,caregivers_per_1000_population_moe,story_scale_exclusion,national_rank_caregiver_count,national_percentile_caregiver_count,national_decile_caregiver_count,eligible_n_caregiver_count,exclusion_reason_caregiver_count,national_rank_caregiving_percent,national_percentile_caregiving_percent,national_decile_caregiving_percent,eligible_n_caregiving_percent,exclusion_reason_caregiving_percent,national_rank_less_than_six_months,national_percentile_less_than_six_months,national_decile_less_than_six_months,eligible_n_less_than_six_months,exclusion_reason_less_than_six_months,national_rank_six_to_eleven_months,national_percentile_six_to_eleven_months,national_decile_six_to_eleven_months,eligible_n_six_to_eleven_months,exclusion_reason_six_to_eleven_months,national_rank_one_or_two_years,national_percentile_one_or_two_years,national_decile_one_or_two_years,eligible_n_one_or_two_years,exclusion_reason_one_or_two_years,national_rank_three_or_four_years,national_percentile_three_or_four_years,national_decile_three_or_four_years,eligible_n_three_or_four_years,exclusion_reason_three_or_four_years,national_rank_five_plus_years,national_percentile_five_plus_years,national_decile_five_plus_years,eligible_n_five_plus_years,exclusion_reason_five_plus_years,national_rank_story_scale_caregiving_percent,national_percentile_story_scale_caregiving_percent,national_decile_story_scale_caregiving_percent,eligible_n_story_scale_caregiving_percent,exclusion_reason_story_scale_caregiving_percent,rank_by_count
1328016,"Eulonia CDP, Georgia",986,98,72,0,0,0,0,72,26,373,51,36,14,14,14,14,36,46,72,0,Pass,98,0,Pass,73.46938775510205,0.5,FALSE,TRUE,FALSE,30.39784159558847,36,108,53.02152182949848,0,19.444444444444446,0,19.444444444444446,0,19.444444444444446,0,19.444444444444446,100,70.71067811865474,20.447865925603566,100,43.87513959154245,Percentage MOE exceeds 50% of estimate,0,19.444444444444446,NA,Unavailable MOE or zero percentage,0,19.444444444444446,NA,Unavailable MOE or zero percentage,0,19.444444444444446,NA,Unavailable MOE or zero percentage,0,19.444444444444446,NA,Unavailable MOE or zero percentage,29.28932188134526,100,42.989039851350206,Percentage MOE exceeds 50% of estimate,2024,2020-2024,ACS five-year,13,73.02231237322515,23.874167447864963,Denominator below story-scale threshold,3802,88.0688557338161,9,32038,Retained,NA,NA,NA,771,Percentage MOE exceeds 50% of estimate,NA,NA,NA,48,Unavailable MOE or zero percentage,NA,NA,NA,40,Unavailable MOE or zero percentage,NA,NA,NA,154,Unavailable MOE or zero percentage,NA,NA,NA,114,Unavailable MOE or zero percentage,NA,NA,NA,593,Percentage MOE exceeds 50% of estimate,NA,NA,NA,749,Denominator below story-scale threshold,124
1351670,"Milton city, Georgia",41546,410,71,0,3,26,0,42,339,49,139,61,30,7,33,30,40,130,71,0,Pass,410,0,Pass,17.317073170731707,0.8591549295774648,FALSE,TRUE,TRUE,52.23291091072948,10,132,13.670725996113688,0,42.25352112676056,4.225352112676056,9.16647974135817,36.61971830985916,34.21151106902084,0,42.25352112676056,59.154929577464785,24.30988981758206,3.6463471746180183,30.987799166845395,47.99431858137704,Percentage MOE exceeds 50% of estimate,0,42.25352112676056,NA,Unavailable MOE or zero percentage,0,13.391831854034226,131.89016760570217,Percentage MOE exceeds 50% of estimate,2.4082072408383226,70.83122937888,56.797602069037694,Percentage MOE exceeds 50% of estimate,0,42.25352112676056,NA,Unavailable MOE or zero percentage,34.845039759882724,83.46481939504685,24.984162272169463,Caregiver count MOE exceeds 50% of estimate,2024,2020-2024,ACS five-year,13,1.7089491166417947,1.4682506745158612,Percentage MOE exceeds 50% of estimate,3845,87.94712528871965,9,32038,Retained,NA,NA,NA,771,Percentage MOE exceeds 50% of estimate,NA,NA,NA,48,Unavailable MOE or zero percentage,NA,NA,NA,40,Percentage MOE exceeds 50% of estimate,NA,NA,NA,154,Percentage MOE exceeds 50% of estimate,NA,NA,NA,114,Unavailable MOE or zero percentage,NA,NA,NA,593,Caregiver count MOE exceeds 50% of estimate,NA,NA,NA,749,Percentage MOE exceeds 50% of estimate,125
1351492,"Milledgeville city, Georgia",16748,118,70,0,0,70,0,0,48,45,102,98,23,23,98,23,23,42,70,0,Pass,118,0,Pass,59.32203389830508,1.4,TRUE,TRUE,TRUE,85.11395646764771,0,168,65.32971919012402,0,32.857142857142854,0,32.857142857142854,100,197.98989873223331,0,32.857142857142854,0,32.857142857142854,0,100,66.95260849720819,Percentage MOE exceeds 50% of estimate,0,32.857142857142854,NA,Unavailable MOE or zero percentage,0,32.857142857142854,NA,Unavailable MOE or zero percentage,0,100,120.36931158378061,Percentage MOE exceeds 50% of estimate,0,32.857142857142854,NA,Unavailable MOE or zero percentage,0,32.857142857142854,NA,Unavailable MOE or zero percentage,2024,2020-2024,ACS five-year,13,4.179603534750418,5.851434172179215,Percentage MOE exceeds 50% of estimate,3880,87.82071290342718,9,32038,Retained,NA,NA,NA,771,Percentage MOE exceeds 50% of estimate,NA,NA,NA,48,Unavailable MOE or zero percentage,NA,NA,NA,40,Unavailable MOE or zero percentage,NA,NA,NA,154,Percentage MOE exceeds 50% of estimate,NA,NA,NA,114,Unavailable MOE or zero percentage,NA,NA,NA,593,Unavailable MOE or zero percentage,NA,NA,NA,749,Percentage MOE exceeds 50% of estimate,126
1353186,"Mountain Park CDP, Georgia",12850,538,70,0,0,0,21,49,468,1253,249,68,23,23,23,35,59,231,70,0,Pass,538,0,Pass,13.011152416356877,0.9714285714285714,FALSE,TRUE,TRUE,59.058663671429024,2,138,11.112668527531936,0,32.857142857142854,0,32.857142857142854,0,32.857142857142854,30,40.62873216765471,70,49.800417996770484,1.8984838888249413,24.123820943888813,51.9248605803023,Percentage MOE exceeds 50% of estimate,0,32.857142857142854,NA,Unavailable MOE or zero percentage,0,32.857142857142854,NA,Unavailable MOE or zero percentage,0,32.857142857142854,NA,Unavailable MOE or zero percentage,0,70.6287321676547,82.33505097746385,Percentage MOE exceeds 50% of estimate,20.199582003229516,100,43.25214907599778,Percentage MOE exceeds 50% of estimate,2024,2020-2024,ACS five-year,13,5.447470817120622,5.265101927556102,Percentage MOE exceeds 50% of estimate,3880,87.82071290342718,9,32038,Retained,NA,NA,NA,771,Percentage MOE exceeds 50% of estimate,NA,NA,NA,48,Unavailable MOE or zero percentage,NA,NA,NA,40,Unavailable MOE or zero percentage,NA,NA,NA,154,Unavailable MOE or zero percentage,NA,NA,NA,114,Percentage MOE exceeds 50% of estimate,NA,NA,NA,593,Percentage MOE exceeds 50% of estimate,NA,NA,NA,749,Percentage MOE exceeds 50% of estimate,126
1355468,"Nicholson city, Georgia",2335,168,65,0,0,6,0,59,103,688,114,60,14,14,10,14,59,92,65,0,Pass,168,0,Pass,38.69047619047619,0.9230769230769231,FALSE,TRUE,TRUE,56.11909217647102,5,125,24.212072850521484,0,21.53846153846154,0,21.53846153846154,9.230769230769232,12.80952343454183,0,21.53846153846154,90.76923076923077,34.9112426035503,14.478403339954706,62.90254904099767,38.0452673462917,Percentage MOE exceeds 50% of estimate,0,21.53846153846154,NA,Unavailable MOE or zero percentage,0,21.53846153846154,NA,Unavailable MOE or zero percentage,0,22.040292665311064,84.36607059360585,Percentage MOE exceeds 50% of estimate,0,21.53846153846154,NA,Unavailable MOE or zero percentage,55.857988165680474,100,23.382955073529594,Caregiver count MOE exceeds 50% of estimate,2024,2020-2024,ACS five-year,13,27.837259100642395,24.351704898017704,Percentage MOE exceeds 50% of estimate,4113,87.08720893938448,9,32038,Retained,NA,NA,NA,771,Percentage MOE exceeds 50% of estimate,NA,NA,NA,48,Unavailable MOE or zero percentage,NA,NA,NA,40,Unavailable MOE or zero percentage,NA,NA,NA,154,Percentage MOE exceeds 50% of estimate,NA,NA,NA,114,Unavailable MOE or zero percentage,NA,NA,NA,593,Caregiver count MOE exceeds 50% of estimate,NA,NA,NA,749,Percentage MOE exceeds 50% of estimate,128
1379388,"Vidalia city, Georgia",10752,323,65,0,0,0,0,65,258,111,196,75,23,23,23,23,75,188,65,0,Pass,323,0,Pass,20.123839009287924,1.1538461538461537,TRUE,TRUE,TRUE,70.14886522058877,0,140,19.74948660054173,0,35.38461538461539,0,35.38461538461539,0,35.38461538461539,0,35.38461538461539,100,163.17848796612634,0.37435240874619424,39.87332560982965,59.66473544142186,Percentage MOE exceeds 50% of estimate,0,35.38461538461539,NA,Unavailable MOE or zero percentage,0,35.38461538461539,NA,Unavailable MOE or zero percentage,0,35.38461538461539,NA,Unavailable MOE or zero percentage,0,35.38461538461539,NA,Unavailable MOE or zero percentage,0,100,99.20547658003896,Percentage MOE exceeds 50% of estimate,2024,2020-2024,ACS five-year,13,6.045386904761905,6.975167224121038,Percentage MOE exceeds 50% of estimate,4113,87.08720893938448,9,32038,Retained,NA,NA,NA,771,Percentage MOE exceeds 50% of estimate,NA,NA,NA,48,Unavailable MOE or zero percentage,NA,NA,NA,40,Unavailable MOE or zero percentage,NA,NA,NA,154,Unavailable MOE or zero percentage,NA,NA,NA,114,Unavailable MOE or zero percentage,NA,NA,NA,593,Percentage MOE exceeds 50% of estimate,NA,NA,NA,749,Percentage MOE exceeds 50% of estimate,128
1384456,"Wrens city, Georgia",2187,88,64,0,0,0,0,64,24,553,103,97,14,14,14,14,97,30,64,0,Pass,88,0,Pass,72.72727272727273,1.515625,TRUE,TRUE,TRUE,92.14345733662755,0,161,70.02829360283262,0,21.875,0,21.875,0,21.875,0,21.875,100,214.34174304717223,2.6989791244401147,100,58.53949684407735,Percentage MOE exceeds 50% of estimate,0,21.875,NA,Unavailable MOE or zero percentage,0,21.875,NA,Unavailable MOE or zero percentage,0,21.875,NA,Unavailable MOE or zero percentage,0,21.875,NA,Unavailable MOE or zero percentage,0,100,130.31052704940535,Percentage MOE exceeds 50% of estimate,2024,2020-2024,ACS five-year,13,29.263831732967535,43.7313875873581,Denominator below story-scale threshold,4163,86.94362944003996,9,32038,Retained,NA,NA,NA,771,Percentage MOE exceeds 50% of estimate,NA,NA,NA,48,Unavailable MOE or zero percentage,NA,NA,NA,40,Unavailable MOE or zero percentage,NA,NA,NA,154,Unavailable MOE or zero percentage,NA,NA,NA,114,Unavailable MOE or zero percentage,NA,NA,NA,593,Percentage MOE exceeds 50% of estimate,NA,NA,NA,749,Denominator below story-scale threshold,130
1374180,"Sugar Hill city, Georgia",26128,507,63,0,29,1,8,25,444,39,224,71,27,48,11,12,44,204,63,0,Pass,507,0,Pass,12.42603550295858,1.126984126984127,TRUE,TRUE,TRUE,68.5157699456121,0,134,12.882947136494058,0,42.857142857142854,46.03174603174603,55.80108103562886,1.5873015873015872,17.36843840132713,12.698412698412698,12.570189308973179,39.682539682539684,53.644963897449706,0,25.308982639452637,63.031171325117334,Percentage MOE exceeds 50% of estimate,0,42.857142857142854,NA,Unavailable MOE or zero percentage,0,100,73.6983742052203,Percentage MOE exceeds 50% of estimate,0,18.955739988628718,665.2334295007103,Percentage MOE exceeds 50% of estimate,0.12822338943951905,25.268602007385876,60.18179319191441,Percentage MOE exceeds 50% of estimate,0,93.32750357998938,82.18683219376922,Percentage MOE exceeds 50% of estimate,2024,2020-2024,ACS five-year,13,2.4112063686466625,2.7173889209109365,Percentage MOE exceeds 50% of estimate,4205,86.79224670703539,9,32038,Retained,NA,NA,NA,771,Percentage MOE exceeds 50% of estimate,NA,NA,NA,48,Unavailable MOE or zero percentage,NA,NA,NA,40,Percentage MOE exceeds 50% of estimate,NA,NA,NA,154,Percentage MOE exceeds 50% of estimate,NA,NA,NA,114,Percentage MOE exceeds 50% of estimate,NA,NA,NA,593,Percentage MOE exceeds 50% of estimate,NA,NA,NA,749,Percentage MOE exceeds 50% of estimate,131
1344900,"Lakeview CDP, Georgia",4723,94,62,0,0,11,0,51,32,740,84,75,14,14,18,14,73,38,62,0,Pass,94,0,Pass,65.95744680851064,1.2096774193548387,TRUE,TRUE,TRUE,73.54316515061727,0,137,53.77729014988832,0,22.58064516129032,0,22.58064516129032,17.741935483870968,19.551310962101695,0,22.58064516129032,82.25806451612904,62.94262801106252,12.180156658622316,100,49.56873337326861,Percentage MOE exceeds 50% of estimate,0,22.58064516129032,NA,Unavailable MOE or zero percentage,0,22.58064516129032,NA,Unavailable MOE or zero percentage,0,37.29324644597266,66.99580822535945,Percentage MOE exceeds 50% of estimate,0,22.58064516129032,NA,Unavailable MOE or zero percentage,19.315436505066522,100,46.51993812752954,Percentage MOE exceeds 50% of estimate,2024,2020-2024,ACS five-year,13,13.127249629472793,15.745974849302225,Denominator below story-scale threshold,4260,86.62213621324678,9,32038,Retained,NA,NA,NA,771,Percentage MOE exceeds 50% of estimate,NA,NA,NA,48,Unavailable MOE or zero percentage,NA,NA,NA,40,Unavailable MOE or zero percentage,NA,NA,NA,154,Percentage MOE exceeds 50% of estimate,NA,NA,NA,114,Unavailable MOE or zero percentage,NA,NA,NA,593,Percentage MOE exceeds 50% of estimate,NA,NA,NA,749,Denominator below story-scale threshold,132
1346860,"Lithonia city, Georgia",2622,62,62,0,22,25,0,15,0,22,51,51,14,30,33,14,19,14,62,0,Pass,62,0,Pass,100,0.8225806451612904,FALSE,TRUE,TRUE,50.00935230241974,11,113,116.33047045327072,0,22.58064516129032,35.483870967741936,38.59211866115695,40.32258064516129,41.62730047199525,0,22.58064516129032,24.193548387096776,23.303869903686035,0,100,70.72390427157616,Percentage MOE exceeds 50% of estimate,0,22.58064516129032,NA,Unavailable MOE or zero percentage,0,74.0759896288989,66.1211461943638,Percentage MOE exceeds 50% of estimate,0,81.94988111715654,62.76285225566397,Percentage MOE exceeds 50% of estimate,0,22.58064516129032,NA,Unavailable MOE or zero percentage,0.8896784834107407,47.49741829078281,58.5600205941065,Percentage MOE exceeds 50% of estimate,2024,2020-2024,ACS five-year,13,23.64607170099161,19.44978900552732,Denominator below story-scale threshold,4260,86.62213621324678,9,32038,Retained,NA,NA,NA,771,Percentage MOE exceeds 50% of estimate,NA,NA,NA,48,Unavailable MOE or zero percentage,NA,NA,NA,40,Percentage MOE exceeds 50% of estimate,NA,NA,NA,154,Percentage MOE exceeds 50% of estimate,NA,NA,NA,114,Unavailable MOE or zero percentage,NA,NA,NA,593,Percentage MOE exceeds 50% of estimate,NA,NA,NA,749,Denominator below story-scale threshold,132
1369868,"Shannon CDP, Georgia",2012,62,62,2,0,60,0,0,0,541,103,103,10,14,103,14,14,14,62,0,Pass,62,0,Pass,100,1.6612903225806452,TRUE,TRUE,TRUE,100.99928014018104,0,165,234.94193052327228,3.225806451612903,15.212718015815549,0,22.58064516129032,96.7741935483871,41.85513614039464,0,22.58064516129032,0,22.58064516129032,0,100,142.83455176416365,Percentage MOE exceeds 50% of estimate,0,18.43852446742845,286.70895133953195,Percentage MOE exceeds 50% of estimate,0,22.58064516129032,NA,Unavailable MOE or zero percentage,54.91905740799246,100,26.294319832721797,Caregiver count MOE exceeds 50% of estimate,0,22.58064516129032,NA,Unavailable MOE or zero percentage,0,22.58064516129032,NA,Unavailable MOE or zero percentage,2024,2020-2024,ACS five-year,13,30.815109343936385,50.51784975179118,Denominator below story-scale threshold,4260,86.62213621324678,9,32038,Retained,NA,NA,NA,771,Percentage MOE exceeds 50% of estimate,NA,NA,NA,48,Percentage MOE exceeds 50% of estimate,NA,NA,NA,40,Unavailable MOE or zero percentage,NA,NA,NA,154,Caregiver count MOE exceeds 50% of estimate,NA,NA,NA,114,Unavailable MOE or zero percentage,NA,NA,NA,593,Unavailable MOE or zero percentage,NA,NA,NA,749,Denominator below story-scale threshold,132
1344592,"Lakeland city, Georgia",2968,110,61,0,61,0,0,0,49,13,62,59,14,59,14,14,14,59,61,0,Pass,110,0,Pass,55.45454545454545,0.9672131147540983,FALSE,TRUE,TRUE,58.80238210294163,2,120,43.58795210856447,0,22.950819672131146,100,136.78459045903708,0,22.950819672131146,0,22.950819672131146,0,22.950819672131146,11.86659334598098,99.04249756310992,47.78615180457256,Percentage MOE exceeds 50% of estimate,0,22.950819672131146,NA,Unavailable MOE or zero percentage,0,100,83.15912626982502,Percentage MOE exceeds 50% of estimate,0,22.950819672131146,NA,Unavailable MOE or zero percentage,0,22.950819672131146,NA,Unavailable MOE or zero percentage,0,22.950819672131146,NA,Unavailable MOE or zero percentage,2024,2020-2024,ACS five-year,13,20.55256064690027,19.87850236626958,Percentage MOE exceeds 50% of estimate,4314,86.45670765965416,9,32038,Retained,NA,NA,NA,771,Percentage MOE exceeds 50% of estimate,NA,NA,NA,48,Unavailable MOE or zero percentage,NA,NA,NA,40,Percentage MOE exceeds 50% of estimate,NA,NA,NA,154,Unavailable MOE or zero percentage,NA,NA,NA,114,Unavailable MOE or zero percentage,NA,NA,NA,593,Unavailable MOE or zero percentage,NA,NA,NA,749,Percentage MOE exceeds 50% of estimate,135
1332748,"Gibson city, Georgia",990,79,60,0,0,0,11,49,19,241,49,48,14,14,14,13,48,30,60,0,Pass,79,0,Pass,75.9493670886076,0.8,FALSE,TRUE,TRUE,48.63654655294155,12,108,38.37405277150624,0,23.333333333333332,0,23.333333333333332,0,23.333333333333332,18.333333333333332,15.947831618540913,81.66666666666667,46.16877251514876,37.57531431710136,100,30.717527274930315,Percentage MOE exceeds 50% of estimate,0,23.333333333333332,NA,Unavailable MOE or zero percentage,0,23.333333333333332,NA,Unavailable MOE or zero percentage,0,23.333333333333332,NA,Unavailable MOE or zero percentage,2.3855017147924187,34.281164951874246,52.885053745475346,Percentage MOE exceeds 50% of estimate,35.49789415151791,100,34.3697395978347,Percentage MOE exceeds 50% of estimate,2024,2020-2024,ACS five-year,13,60.60606060606061,46.185624611949585,Denominator below story-scale threshold,4366,86.29752169298958,9,32038,Retained,NA,NA,NA,771,Percentage MOE exceeds 50% of estimate,NA,NA,NA,48,Unavailable MOE or zero percentage,NA,NA,NA,40,Unavailable MOE or zero percentage,NA,NA,NA,154,Unavailable MOE or zero percentage,NA,NA,NA,114,Percentage MOE exceeds 50% of estimate,NA,NA,NA,593,Percentage MOE exceeds 50% of estimate,NA,NA,NA,749,Denominator below story-scale threshold,136
1306884,"Belvedere Park CDP, Georgia",14181,236,59,23,0,16,14,6,177,1112,123,50,34,23,27,23,15,117,59,0,Pass,236,0,Pass,25,0.847457627118644,FALSE,TRUE,TRUE,51.52176541625164,9,109,16.706082795927127,38.983050847457626,47.217322492872874,0,38.983050847457626,27.11864406779661,39.5734505575282,23.728813559322035,33.39610419279987,10.16949152542373,23.918452892349183,8.293917204072873,41.70608279592713,40.626308681070284,Percentage MOE exceeds 50% of estimate,0,86.2003733403305,73.63737103709896,Percentage MOE exceeds 50% of estimate,0,38.983050847457626,NA,Unavailable MOE or zero percentage,0,66.69209462532481,88.71737675609633,Percentage MOE exceeds 50% of estimate,0,57.1249177521219,85.564285177982,Percentage MOE exceeds 50% of estimate,0,34.08794441777292,142.99030397252446,Percentage MOE exceeds 50% of estimate,2024,2020-2024,ACS five-year,13,4.160496438897116,3.510718387362779,Percentage MOE exceeds 50% of estimate,4416,86.13365378612897,9,32038,Retained,NA,NA,NA,771,Percentage MOE exceeds 50% of estimate,NA,NA,NA,48,Percentage MOE exceeds 50% of estimate,NA,NA,NA,40,Unavailable MOE or zero percentage,NA,NA,NA,154,Percentage MOE exceeds 50% of estimate,NA,NA,NA,114,Percentage MOE exceeds 50% of estimate,NA,NA,NA,593,Percentage MOE exceeds 50% of estimate,NA,NA,NA,749,Percentage MOE exceeds 50% of estimate,137
1312624,"Camilla city, Georgia",5124,185,59,0,0,36,0,23,126,28,115,63,20,20,51,20,25,85,59,0,Pass,185,0,Pass,31.891891891891895,1.0677966101694916,TRUE,TRUE,TRUE,64.91742442447708,0,122,27.68863090850348,0,33.89830508474576,0,33.89830508474576,61.016949152542374,56.806577923124415,0,33.89830508474576,38.983050847457626,7.920841717348084,4.2032609833884145,59.58052280039537,52.78298441550836,Percentage MOE exceeds 50% of estimate,0,33.89830508474576,NA,Unavailable MOE or zero percentage,0,33.89830508474576,NA,Unavailable MOE or zero percentage,4.210371229417959,100,56.60058004465597,Percentage MOE exceeds 50% of estimate,0,33.89830508474576,NA,Unavailable MOE or zero percentage,31.062209130109544,46.90389256480571,12.352880885072073,Caregiver count MOE exceeds 50% of estimate,2024,2020-2024,ACS five-year,13,11.514441842310696,12.294920967530047,Percentage MOE exceeds 50% of estimate,4416,86.13365378612897,9,32038,Retained,NA,NA,NA,771,Percentage MOE exceeds 50% of estimate,NA,NA,NA,48,Unavailable MOE or zero percentage,NA,NA,NA,40,Unavailable MOE or zero percentage,NA,NA,NA,154,Percentage MOE exceeds 50% of estimate,NA,NA,NA,114,Unavailable MOE or zero percentage,NA,NA,NA,593,Caregiver count MOE exceeds 50% of estimate,NA,NA,NA,749,Percentage MOE exceeds 50% of estimate,137
1317328,"Cochran city, Georgia",4803,71,59,0,0,18,10,31,12,25,66,65,14,14,26,15,51,12,59,0,Pass,71,0,Pass,83.09859154929578,1.1016949152542372,TRUE,TRUE,TRUE,66.97829504112713,0,124,49.134913603957685,0,23.728813559322035,0,23.728813559322035,30.508474576271187,28.50033810610811,16.94915254237288,17.253773708458517,52.54237288135594,64.19688925685757,33.96367794533809,100,35.94754839280277,Percentage MOE exceeds 50% of estimate,0,23.728813559322035,NA,Unavailable MOE or zero percentage,0,23.728813559322035,NA,Unavailable MOE or zero percentage,2.008136470163077,59.0088126823793,56.79397447449011,Percentage MOE exceeds 50% of estimate,0,34.202926250831396,61.88834265367043,Percentage MOE exceeds 50% of estimate,0,100,74.28088087936128,Percentage MOE exceeds 50% of estimate,2024,2020-2024,ACS five-year,13,12.283989173433271,13.533057366757859,Denominator below story-scale threshold,4416,86.13365378612897,9,32038,Retained,NA,NA,NA,771,Percentage MOE exceeds 50% of estimate,NA,NA,NA,48,Unavailable MOE or zero percentage,NA,NA,NA,40,Unavailable MOE or zero percentage,NA,NA,NA,154,Percentage MOE exceeds 50% of estimate,NA,NA,NA,114,Percentage MOE exceeds 50% of estimate,NA,NA,NA,593,Percentage MOE exceeds 50% of estimate,NA,NA,NA,749,Denominator below story-scale threshold,137
1328440,"Fairfield Plantation CDP, Georgia",6172,111,59,35,24,0,0,0,52,1025,88,68,54,41,20,20,20,34,59,0,Pass,111,0,Pass,53.153153153153156,1.152542372881356,TRUE,TRUE,TRUE,70.06960096610224,0,127,44.46582961172636,59.32203389830508,60.846429490002286,40.67796610169492,51.29375162041138,0,33.89830508474576,0,33.89830508474576,0,33.89830508474576,8.687323541426792,97.61898276487952,50.85926853893527,Percentage MOE exceeds 50% of estimate,0,100,62.35794708134842,Percentage MOE exceeds 50% of estimate,0,91.97171772210629,76.66161738286894,Percentage MOE exceeds 50% of estimate,0,33.89830508474576,NA,Unavailable MOE or zero percentage,0,33.89830508474576,NA,Unavailable MOE or zero percentage,0,33.89830508474576,NA,Unavailable MOE or zero percentage,2024,2020-2024,ACS five-year,13,9.559300064808815,10.902522398977862,Percentage MOE exceeds 50% of estimate,4416,86.13365378612897,9,32038,Retained,NA,NA,NA,771,Percentage MOE exceeds 50% of estimate,NA,NA,NA,48,Percentage MOE exceeds 50% of estimate,NA,NA,NA,40,Percentage MOE exceeds 50% of estimate,NA,NA,NA,154,Unavailable MOE or zero percentage,NA,NA,NA,114,Unavailable MOE or zero percentage,NA,NA,NA,593,Unavailable MOE or zero percentage,NA,NA,NA,749,Percentage MOE exceeds 50% of estimate,137
1330424,"Folkston city, Georgia",4631,189,59,0,0,0,25,34,130,14,106,65,14,14,14,41,52,104,59,0,Pass,189,0,Pass,31.216931216931215,1.1016949152542372,TRUE,TRUE,TRUE,66.97829504112713,0,124,29.601533360579968,0,23.728813559322035,0,23.728813559322035,0,23.728813559322035,42.3728813559322,51.47683079017003,57.6271186440678,61.1328036335134,1.6153978563512474,60.81846457751118,57.64965914352261,Percentage MOE exceeds 50% of estimate,0,23.728813559322035,NA,Unavailable MOE or zero percentage,0,23.728813559322035,NA,Unavailable MOE or zero percentage,0,23.728813559322035,NA,Unavailable MOE or zero percentage,0,93.84971214610223,73.85783067515798,Percentage MOE exceeds 50% of estimate,0,100,64.49412446329387,Percentage MOE exceeds 50% of estimate,2024,2020-2024,ACS five-year,13,12.740228892247895,14.035792546064807,Percentage MOE exceeds 50% of estimate,4416,86.13365378612897,9,32038,Retained,NA,NA,NA,771,Percentage MOE exceeds 50% of estimate,NA,NA,NA,48,Unavailable MOE or zero percentage,NA,NA,NA,40,Unavailable MOE or zero percentage,NA,NA,NA,154,Unavailable MOE or zero percentage,NA,NA,NA,114,Percentage MOE exceeds 50% of estimate,NA,NA,NA,593,Percentage MOE exceeds 50% of estimate,NA,NA,NA,749,Percentage MOE exceeds 50% of estimate,137
